RXN-13195	EC-2.1.1.256
3.4.23.48-RXN	EC-3.4.23.48
RXN-12132	
RXN-11635	EC-2.1.1.174
RXN0-6523	EC-3.1.26.12
RXN-11137	EC-3.4.24.87
RXN-11593	EC-2.1.1.178
RXN-11574	EC-2.1.1.173
RXN-13996	EC-3.5.4.34
RXN-19243	EC-4.1.99.3
RXN-12503	
RXN1G-288	
RXN-12461	EC-2.1.1.229
3.4.21.116-RXN	EC-3.4.21.116
RXN-21150	EC-6.2.1.aa
RXN-21127	
RXN-12379	EC-2.1.1.215
RXN-17711	EC-2.3.1.230
RXN-12826	EC-3.6.1.59
RXN0-2625	
RXN0-2161	EC-6.1.1.11
GLUTRNAREDUCT-RXN	EC-1.2.1.70
RXN-19454	
RXN-2043	EC-3.2.1.4
TRNA-CYTIDYLYLTRANSFERASE-RXN	EC-2.7.7.72
RXN-7943	EC-3.4.21.104
LYSINE--TRNA-LIGASE-RXN	EC-6.1.1.6
RXN-10038	EC-2.7.1.164
3.4.22.68-RXN	EC-3.4.22.68
6.3.5.6-RXN	EC-6.3.5.6
RXN-12104	EC-1.17.99.6
RXN0-6515	EC-2.1.1.171
RNA-DIRECTED-RNA-POLYMERASE-RXN	EC-2.7.7.48
RXN-17940	
RXN-11589	EC-2.1.1.186
RXN-13993	EC-3.5.4.38
RXN-19240	EC-4.1.99.13
RXN-16938	EC-3.5.1.28
RXN-12499	EC-5.4.99.42
RXN-12479	EC-2.1.1.225
TRANS-RXN18HP-97	
NUCLEOSIDE-DEOXYRIBOSYLTRANSFERASE-RXN	EC-2.4.2.6
2.1.1.57-RXN	EC-2.1.1.57
RXN-12458	EC-2.1.1.228
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN	EC-2.1.1.37
RXN-21117	
2.7.1.160-RXN	EC-2.7.1.160
RXN-12375	EC-2.1.1.216
RXN-11868	EC-2.1.1.205
13-BETA-OLIGOGLUCAN-PHOSPHORYLASE-RXN	EC-2.4.1.30
RXN-11845	EC-2.1.1.166
RXN-9544	EC-1.1.1
