PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)	
PWY-6305	superpathway of putrescine biosynthesis	putrescine biosynthesis in plants	ODC and ADC putrescine biosynthesis
PWY-6146	<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism	
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	GGPP biosynthesis
PWY-5840	superpathway of menaquinol-7 biosynthesis	vitamin K<sub>2</sub> biosynthesis	superpathway of menaquinone-7 biosynthesis
PWY-5529	superpathway of bacteriochlorophyll <i>a</i> biosynthesis	
PWY-5388	N-glucosylnicotinate metabolism	
PWY-7836	ganglio-series glycosphingolipids biosynthesis	ganglioglycosphingolipids biosynthesis	ganglioside biosynthesis
TAURINEDEG-PWY	taurine degradation III	
PWY-5405	superpathway of betalain biosynthesis	
PWY-5805	nonaprenyl diphosphate biosynthesis I	solanesyl diphosphate biosynthesis	solanesyl pyrophosphate biosynthesis
PWY-5265	peptidoglycan biosynthesis II (staphylococci)	
PWY-5088	L-glutamate degradation VIII (to propanoate)	L-glutamate fermentation	mesaconate pathway
PWYDQC-4	indole-3-acetate biosynthesis I	auxin biosynthesis	IPA auxin biosynthesis	IAA biosynthesis I	indole-3-acetic acid biosynthesis I
PWY-822	fructan biosynthesis	
PWY-3282	superpathway of ammonia assimilation (plants)	GS/GOGAT pathway
PWY-7177	UTP and CTP dephosphorylation II	pyrimidine nucleotides dephosphorylation
PHOTOALL-PWY	oxygenic photosynthesis	C3 photosynthesis
AMMASSIM-PWY	ammonia assimilation cycle III	ammonia assimilation III	GS/GOGAT pathway
P125-PWY	superpathway of (<i>R,R</i>)-butanediol biosynthesis	butylene glycol fermentation	butanediol fermentation
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	superpathway of L-phenylalanine, L-tyrosine, and L-tryptophan biosynthesis
PWY-7193	pyrimidine ribonucleosides salvage I	
PWY-7092	neolinustatin bioactivation	
PWY-5632	cephalosporin C biosynthesis	
PWY-5876	magnoflorine biosynthesis	
PWY-6549	L-glutamine biosynthesis III	L-glutamine biosynthesis (nitrogen remobilization from senescing leaves)
PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	
PWY66-409	superpathway of purine nucleotide salvage	
PWY0-781	aspartate superpathway	
PWY-6104	3-chlorotoluene degradation II	
PWY-7848	heme degradation VII	
PWY-8004	Entner-Doudoroff pathway I	ED pathway I
PWY-6697	oxalate degradation IV	
PWY-7509	cardiolipin and phosphatidylethanolamine biosynthesis (<i>Xanthomonas</i>)	
PWY-7332	superpathway of UDP-<I>N</i>-acetylglucosamine-derived O-antigen building blocks biosynthesis	
PWY-7253	apigeninidin 5-<i>O</i>-glucoside biosynthesis	
PWY-7211	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	
PWY-7020	superpathway of butirocin biosynthesis	
PWY-6895	superpathway of thiamine diphosphate biosynthesis II	superpathway of thiamine diphosphate biosynthesis (Bacillus)	superpathway of vitamin B<sub>1</sub> biosynthesis (Bacillus)
PWY-5817	dodecaprenyl diphosphate biosynthesis	
LIPA-CORESYN-PWY	lipid A-core biosynthesis (<i>E. coli</i> K-12)	
PWY-6594	superpathway of <i>Clostridium acetobutylicum</i> solventogenic fermentation	acetobutylicum solventogenic fermentation
PWY-6446	benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)	benzoic acid biosynthesis	benzoate biosynthesis III (CoA-dependent, &beta;-oxidative-independent)
PWY-5135	xanthohumol biosynthesis	
PWY-6285	superpathway of fatty acids biosynthesis (<i>E. coli</i>)	
PWY-6694	oxalate degradation I	
PWY-6141	archaetidylserine and archaetidylethanolamine biosynthesis	
PWY-7185	UTP and CTP dephosphorylation I	pyrimidine nucleotides dephosphorylation
PWY-5898	superpathway of menaquinol-12 biosynthesis	vitamin K<sub>2</sub> biosynthesis	superpathway of menaquinone-12 biosynthesis
PWY-5724	superpathway of atrazine degradation	s-triazine degradation
PWY-6619	adenine and adenosine salvage VI	
PWY-5485	pyruvate fermentation to acetate IV	pyruvic acid fermentation to acetic acid IV
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	
PWY-2343	daidzein conjugates interconversion	daidzein conjugate pool
PWY-7949	diadinoxanthin and diatoxanthin interconversion	diadinoxanthin cycle
P621-PWY	nylon-6 oligomer degradation	caprolactam degradation
PWY-5183	superpathway of aerobic toluene degradation	
PWY-5053	superpathway of gibberellin GA<sub>12</sub> biosynthesis	
PWY-2504	superpathway of aromatic compound degradation via 3-oxoadipate	
PWY-7845	heme degradation II	
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	
PWY-6698	oxalate degradation V	
OANTIGEN-PWY	<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)	
URDEGR-PWY	superpathway of allantoin degradation in plants	ureide degradation
GLUDEG-I-PWY	GABA shunt	
COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	CoA biosynthesis
SPHINGOLIPID-SYN-PWY	sphingolipid biosynthesis (yeast)	
PWY-7097	vanillin and vanillate degradation I	
ACETATEUTIL-PWY	superpathway of acetate utilization and formation	superpathway of acetic acid utilization and formation
PWY-5806	all-<i>trans</i>-decaprenyl diphosphate biosynthesis	
PWY-1264	taurine degradation II	
PWY-6695	oxalate degradation II	
PWY66-3	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	
PWY-6658	acetan biosynthesis	
PWY0-166	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	
PWY-7752	gadusol biosynthesis	
PWY-7835	superpathway of glycosphingolipids biosynthesis	
PWY-7438	superpathway of dTDP-glucose-derived antibiotic building blocks biosynthesis	
PWY-7317	superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis	
PWY-6609	adenine and adenosine salvage III	adenosine nucleotides salvage III
PWY-7118	chitin deacetylation	
PWY-6011	amygdalin and prunasin degradation	
PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage	
PWY-6981	chitin biosynthesis	
TRPSYN-PWY	L-tryptophan biosynthesis	
PWY-5423	oleoresin monoterpene volatiles biosynthesis	
PWY-6830	superpathway of methanogenesis	
PWY-6192	3,4-dichlorotoluene degradation	
PWY-6571	dermatan sulfate biosynthesis	
PWY-5874	heme degradation I	
PWY-6404	superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	
PWY-6270	isoprene biosynthesis I	
